Project,Class,Pattern Predicted
jbehave-core,Embedder,
molgenis_apps,MeasurementDecorator,
movsim,VehiclePrototype,
cdt,CNavigatorProblemsLabelDecorator,
pcgen-svn,GeneralChooserFacadeBase,
milton,ResourceFactory,
swing-mvc-demo,MainModelObserver,
MPS,MementoPersistence,
wayback,QueryCaptureFilterGroupFactory,
pcgen-svn,ListDataAdapter,
jbehave-core,ParameterDelimiters,
fop,ElementListObserver,
petals-studio,Cdk5Factory,
orion.server,GitSshSessionFactory,
TapIt-Android-SDK-Source,InterstitialAdProxyPrototype,
james,RMISocketFactory,
vogella,MyObserver,
refactoring_guru,Memento,
SWE12-Drone,PrototypeBrickAdapter,
sslr,RuleMatchersVisitor,
fuzzydb,Decorator,
harmony-classlib,PropertyChangeListenerProxy,
ant,ResourceFactory,
cdk,BehaviorAdapter,
pcgen-svn,FacadeFactory,
refactoring_guru,Builder,
pcgen-svn,EqBuilder,
platform,JAXWSAxis2ConfigurationObserver,
pellet,NumberToLiteralVisitor,
console_1,CoreUISingleton,
platform,SecurityAxis2ConfigurationContextObserver,
Android-Simple-Social-Sharing,TwitterEventObserver,
spring-migration-analyzer,DelegatingAnnotationVisitor,
ant,Native2AsciiAdapter,
molgenis_apps,DataDecorator,
basiclti-portlet,ChemvantageAdapter,
cdt,CDTViewerDragAdapter,
maven-3,ToolchainFactory,
cdt,FunctionPrototypeSummary,
AllBinary-Platform,NoGameNotificationHudSingleton,
protogrid,BaseDataPrototype,
cucumber-jvm,FileResourceIteratorFactory,
jbehave-core,InstanceStepsFactory,
api,TCCLSingletonProvider,
jbehave-core,TradingService,
wayback,ReplayRendererDecorator,
ChenSun,DatabaseMetaData,
flume_1,LatchedDecorator,
osate2-core,FeatureGroupPrototypeImpl,
playorm,ListProxy,
3taps-Java-Client,Annotation,
zk,DefaultIDOMFactory,
molgenis_apps,DBIndexUpdateDecorator,
wayback,MementoReplayRendererDecorator,
DimSim,SimpleProtocolCodecFactory,
DimSim,RemotingCodecFactory,
android-rackspacecloud,ConnectionPoolCommandExecutorServiceModule,
helma,Prototype,
jbehave-core,NamedParametersSteps,
liferay-portal,LayoutPrototypeWrapper,
cruisecontrol,Builder,
3taps-Java-Client,DeleteResponse,
fuzzydb,DateDecorator,
magic-config,DoubleTagDecorator,
cdo,PostgreSQLAdapter,
hbase,ThriftServerMetricsSourceFactoryImpl,
maven-3,DefaultModelBuilder,
de-webapp,DiskResourceServiceFacade,
frostwire-desktop,ElementalReverseProxy,
Alice,CallToUserDefinedResponsePrototype,
ChenSun,ConnectionPropertiesImpl,
cdk,ModelBuilder,
cdo,CDODefsAdapterFactory,
vogella,TotalObserver,
spring-migration-analyzer,EjbDetectingClassVisitor,
ChenSun,MysqlXADataSource,
harmony-classlib,DragSourceEventProxy,
cdt,CElementDeltaBuilder,
flume_1,UnbatchingDecorator,
frostwire-desktop,MRJ4EventProxy,
jbehave-core,AnnotatedEmbedderUsingSpringAndSteps,
openejb,SingletonContainerBuilder,
dozer,DozerBuilder,
DownloadProvider,DateSortedExpandableListAdapter,
cruisecontrol,NantBuilder,
sablecc,MParamPrototype,
basiclti-portlet,WikispacesAdapter,
pellet,OntBuilder,
AllBinary-Platform,GamePersistanceSingleton,
jbehave-core,BeforeAfterSteps,
cxf,ClientMessageObserver,
ocl,XsdFactoryImpl,
3taps-Java-Client,AnnotationOption,
cdt,BasicSelectionTransferDragAdapter,
cxf,PrimitiveTypesVisitor,
UK-Ejemplos,EventObserver,
arquillian-extension-persistence,EventObserver,
rap,IMemento,
computercraft-spout,Prototype,
santuario-java,SignatureAlgorithmFactory,
jabylon,UsersFactory,
rap,MementoStateManager,
sample-projects,Visitor,
swp1-teamhub,ProjektFacade,
birt,MementoBuilder,
eclipse.platform.debug,IElementMementoRequest,
fuzzydb,AgeDecorator,
ocl,UnresolvedFactory,
platform,PaypalSOAPProxy,
LimeWire-Pirate-Edition,GnutellaDownloadMemento,
jamendo-android,TrackDatabaseBuilder,
eclipse.platform.debug,ElementMementoProvider,
jogetworkflow,FormFacade,
pellet,FSMBuilder,
santuario-java,ElementProxy,
wayback,ReplayParseEventDelegatorVisitor,
pellet,FunctionApplicationVisitor,
pellet,NumericComparisonVisitor,
platform,AbstractProxy,
jabylon,Memento,
AllBinary-Platform,UserEmailEventHandlerSingletons,
refactoring_guru,CarBuilder,
pcgen-svn,TemplateFacade,
ChenSun,Field,
ChenSun,DatabaseMetaDataUsingInfoSchema,
cogroo4,CogrooSingleton,
petals-studio,JmsFactoryImpl,
harmony-classlib,MockBeanContextProxyS,
pcgen-svn,TempBonusFacade,
cdo,ObjyProxy,
DownloadProvider,DateSortedDownloadAdapter,
molgenis_apps,MolgenisFileDecorator,
java-patterns,OracleRegistrationDAOFactory,
Emma,IOpcodeVisitor,
flume_1,ValueDecorator,
studio3,XMLMemento,
LimeWire-Pirate-Edition,BTDiskManagerMementoImpl,
geotoolkit-pending,GeometryProxy,
cdt,DelegatingDropAdapter,
ccw,BreakpointAdapterFactory,
java-design-patterns,AbstractFactory,
wayback,ArchivalUrlResultURIConverterFactory,
biojava-legacy,SimpleAssemblyBuilder,
spring-migration-analyzer,StubResultGatheringFieldVisitor,
fest-reflect,DecoratorInvocationHandler,
OneSwarm,ResourcePrototype,
smsc-server,MessageManagerFactory,
pellet,RuleAtomVisitor,
cdk,Visitor,
Alice,QuestionPrototype,
petals-studio,JbiFactory,
basiclti-portlet,IBasicLTIAdapter,
platform,MediationStatisticsObserver,
cayenne,SingletonFaultFactory,
platform,ActivityMediationStatisticsObserver,
api,ResourceReferenceFactory,
cdo,VersionBuilder,
pcgen-svn,ReferenceFacade,
jbehave-core,SearchSteps,
platform,CSGServiceObserver,
accent,ChannelListenerAdapter,
jbehave-core,SkipBeforeAndAfterScenarioStepsIfGivenStory,
spring-migration-analyzer,StubResultGatheringMethodVisitor,
osate2-core,PrototypeImpl,
petals-studio,Filetransfer3Factory,
TapIt-Android-SDK-Source,InterstitialAdProxyPrototype,
cfeclipse,URLDecorator,
pcgen-svn,SpellSupportFacade,
javassist,Proxy,
tapestry-bootstrap,SessionBindingFactory,
dawn-third,AnnotationMemento,
BuildCraft,FactoryProxyClient,
jamendo-android,PlaylistBuilder,
jamendo-android,AlbumDatabaseBuilder,
HunApkNotifier,HunApkListAdapter,
LimeWire-Pirate-Edition,BTDownloadMementoImpl,
jbehave-core,FailingBeforeStories,
cruisecontrol,CompositeBuilder,
petals-studio,JmsFactory,
pcgen-svn,SkillFacade,
osate2-core,SubprogramPrototypeImpl,
soapui,InspectorFactory,
activemq,DurableSubscriberFacade,
soapui,EditorViewFactory,
ocl,OCLinEcoreCSTFactoryImpl,
liferay-portal,LayoutSetPrototypeWrapper,
pcgen-svn,CharacterLevelsFacadeImpl,
JavaDesignPatternExercises,Memento,
platform,SynapseObserver,
cxf,FixedVisitor,
osate2-core,ProcessorPrototypeImpl,
osate2-core,Prototype,
ocl,AbapmappingFactoryImpl,
magic-config,TripleTagDecorator,
molgenis_apps,EditableTableDecorator,
SWE12-Drone,PrototypeBrickAdapter,
pcgen-svn,LanguageFacade,
de-webapp,AnalysisContextBuilder,
tapestry-bootstrap,EnvironmentBindingFactory,
de-webapp,AnalysisServiceFacade,
openejb,BasicSingletonBean,
jbehave-core,StackTraceFormatter,
java-design-patterns,FishingBoatAdapter,
archaius,ExpandedConfigurationListenerAdapter,
playorm,CursorProxy,
3taps-Java-Client,SummaryResponse,
LimeWire-Pirate-Edition,TorrentFileSystemMementoImpl,
cxf,MTOMAssertionBuilder,
api,MockResourceFactory,
Promasi-V2,TaskBridgeMemento,
3taps-Java-Client,SearchResponse,
activemq,DataManagerFacade,
computercraft-spout,Prototype,
DimSim,PopoutPanelProxy,
platform,HiveAxis2ConfigObserver,
OpenSIG,Visitor,
alfresco,TransactionAwareSingleton,
Get-Another-Label,DawidSkeneDecorator,
osate2-core,FeatureGroupPrototype,
petals-studio,Filetransfer2xFactory,
Generic-Graph-View,ColorMemento,
spring-social-twitter,PlacePrototype,
teiid-designer,VdbModelBuilder,
onebusaway-application-modules,ResourcePrototypeImpl,
cdt,CDTViewerDropAdapter,
activemq,JobSchedulerFacade,
activemq,JournalFacade,
biomixer,HighlightingResourceSetAvatarFactory,
3taps-Java-Client,CreateResponse,
java-patterns,RegistrationDAOAbstractFactory,
ocl,XsdFactory,
see,BigDecimalFactory,
harmony-classlib,BeanContextChildComponentProxy,
jbehave-core,WeldAnnotationBuilder,
cdt,ICElementVisitor,
wayback,ARCRecordingProxy,
hypergraphdb,CacheActionQueueSingleton,
jbehave-core,TraderSteps,
Promasi-V2,ProjectTaskMemento,
platform,PersistingStatisticsObserver,
jbehave-core,ProvidedStepsFactory,
Cours-3eme-ann-e,AbstractFacade,
swp1-teamhub,KommentarFacade,
ChenSun,MysqlValidConnectionChecker,
eclipse.platform.debug,BreakpointMementoProvider,
AxonFramework,SpringPrototypeAggregateFactory,
jbehave-core,GameObserver,
cdt,MultiBuildConsoleAdapter,
hazelcast-cluster-monitor,MapPageBuilder,
milton,HrResourceFactoryFactory,
jbehave-core,InheritingAnnotatedEmbedderUsingSteps,
ChenSun,CachedResultSetMetaData,
cxf,ExceptionVisitor,
cdt,CodeReaderAdapter,
ocl,UnresolvedFactoryImpl,
hivedb,DirectoryFacadeProvider,
platform,SalesforceProxy,
Java-Design-Patterns,FactoryMethod,
refactoring_guru,XMLExportVisitor,
cdt,PathEntryStoreProxy,
ant,JspCompilerAdapter,
cdt,CEditorTextHoverProxy,
jbehave-core,SandpitSteps,
OneSwarm,ImageResourcePrototype,
spring-migration-analyzer,DelegatingFieldVisitor,
3taps-Java-Client,PostingHistory,
android-rackspacecloud,ApacheHCHttpCommandExecutorServiceModule,
jbehave-core,ParametrisedSteps,
MPS,MappingsMemento,
Emma,IAttributeVisitor,
pcgen-svn,DelegatingListFacade,
wayback,ReplayParseEventDelegatorVisitor,
pcgen-svn,LoadableFacade,
iBatisWorkShop,NoXmlSingletonConnectionManager,
frostwire-desktop,HeaderMouseObserver,
pcgen-svn,InfoFactory,
jbehave-core,AnnotatedEmbedderUsingSpring,
ChenSun,SocialNetworkDBAThread,
pcgen-svn,SpellSupportFacadeImpl,
cxf,SequenceVisitor,
eclipse.platform.debug,RegisterGroupMementoProvider,
cdt,BreakpointVMModelProxyStrategy,
cdt,ExpressionVMProviderModelProxyStrategy,
javassist,ScopedClassPoolFactory,
sshj,SingletonRandomFactory,
cdt,PDOMProxy,
Alice,CallToUserDefinedQuestionPrototype,
pcgen-svn,UIDelegate,
AllBinary-Platform,CurrentlyPressedTouchButtonSingleton,
soapui,EmptyPanelBuilder,
sslr,AstAndTokenVisitor,
java-design-patterns,CommanderVisitor,
biojava-legacy,ExceptionMemento,
Promasi-V2,DepartmentMemento,
pcgen-svn,CDOMFactory,
Promasi-V2,EmployeeTaskMemento,
osate2-core,FeatureGroupPrototypeActualImpl,
Emma,ICONSTANTVisitor,
robo-remote,EmSingleton,
biomixer,DisableIfEmptyResourceSetAvatarFactory,
java-game-server,UDPChannelPipelineFactory,
AllBinary-Platform,ImageComparisonResultCacheSingleton,
TapIt-Android-SDK-Source,BannerViewProxyPrototype,
pcgen-svn,LevelCommandFactory,
ASEME,SUCFactory,
platform,TargetServiceObserver,
Mobile-Tour-Guide,BookmarkAdapter,
biomixer,HideIfEmptyResourceSetAvatarFactory,
see,DoubleFactory,
AllBinary-Platform,UploadMediaSingleton,
BMach,ISubject,
pcgen-svn,LanguageChooserFacadeImpl,
wolips,EOPrototypeListContentProvider,
cdo,DawngenmodelItemProviderAdapterFactory,
cxf,DefinitionVisitor,
ASEME,AIPFactory,
OneSwarm,ExternalTextResourcePrototype,
jbehave-core,GroovyAnnotationBuilderBehaviour,
teiid-designer,CustomDiagramActionAdapter,
liferay-portal,LayoutPrototypeBaseImpl,
Android-Simple-Social-Sharing,FacebookEventObserver,
eclipse.platform.ui,ConfigurationElementMemento,
cdt,IndexerInputAdapter,
cdt,WorkbenchRunnableAdapter,
cucumber-jvm,SingletonFactory,
pellet,PelletVisitor,
swp1-teamhub,TeamleiterFacade,
platform_frameworks_base,SyncStatusObserver,
cruisecontrol,Maven2Builder,
liferay-portal,LayoutPrototypeLocalService,
hazelcast-cluster-monitor,QueuePageBuilder,
jbehave-core,TraderPersister,
frostwire-desktop,Decorator,
Emma,AbstractClassDefVisitor,
sitemesh2,AbstractDecoratorMapper,
osate2-core,DataPrototypeImpl,
studio2,XMLMemento,
osate2-core,BusPrototypeImpl,
spring-migration-analyzer,StubResultGatheringClassVisitor,
magic-config,SingleTagDecorator,
santuario-java,SecurityTokenFactory,
mongkie,EnrichmentBuilder,
frostwire-desktop,TreeMouseObserver,
harmony-classlib,ActionProxy,
ChenSun,EscapeProcessor,
refactoring_guru,WindowsDialog,
cxf,TypesVisitor,
java-patterns,RegistrationDAOAbstractFactory,
ant,TaskAdapter,
cdt,ProblemsLabelDecorator,
WhartonEventScheduler,PeopleCursorAdapter,
molgenis_apps,AuthorizableDecorator,
s4,PrototypeWrapper,
pcgen-svn,ModifyChoiceDecorator,
sslr,EmptyVisitor,
osate2-core,ComponentPrototypeBinding,
jbehave-core,SkipScenariosAfterFailure,
BuildCraft,CoreProxyClient,
platform,AbstractSynapseObserver,
ocl,ExpressionsFactory,
biomixer,UpdateResourceSetAvatarLabelFactory,
intellij-community,SingletonInspection,
ocl,AbapdictionaryFactoryImpl,
Mavenized-Wave-In-A-Box,ViewFactory,
orion.server,GitFileDecorator,
playorm,FactorySingleton,
java-patterns,RegistrationDAOFactory,
playorm,IterProxy,
platform,JMXObserver,
protoj,Prototype,
bio_quiz,QuestionFacade,
fafdtibb,FuriousNodeBuilderFactory,
platform,ThrottlingAxis2ConfigurationContextObserver,
eclipse.platform.debug,ExpressionMementoProvider,
dozer,SampleDefaultBeanFactory,
ASEME,SRMFactory,
cfeclipse,URLDecoratorManager,
AllBinary-Platform,RemoteErrorHighScoresSingletonFactory,
cxf,ColocMessageObserver,
jbehave-core,SpringApplicationContextFactory,
dawn-third,TraceMemento,
dozer,UserBeanFactory,
Promasi-V2,GameModelMemento,
jge3d,Observer,
biomixer,ResourceSetAvatarDropCommandFactory,
jbehave-core,AnnotatedEmbedderUsingGuice,
cdt,ChangeGeneratorWriterVisitor,
ocl,AbapdictionaryFactory,
platform,DiscoveryProxyObserver,
faban,RunFacade,
cdo,CDOItemProviderAdapter,
geotoolkit-pending,RandomStyleBuilder,
bio_quiz,QuizFacade,
cdt,CPPASTAllVisitor,
openejb,ThreadSingletonService,
TapIt-Android-SDK-Source,AlertAdProxyPrototype,
cdo,ContainerEventAdapter,
basiclti-portlet,NoteflightAdapter,
cdt,IModelVisitor,
harmony-classlib,VetoableChangeListenerProxy,
jbehave-core,SilentSuccessFilter,
ccw,LeiningenBuilder,
Emma,InstrVisitor,
Promasi-V2,FlowSdObjectMemento,
dawn-third,XYGraphMemento,
jbehave-core,AnnotationBuilder,
harmony-classlib,AWTEventListenerProxy,
console_1,AggregatedConsoleSingleton,
frostwire-desktop,NetworkAdminHTTPProxyImpl,
studio2,IMemento,
Lord-of-Ultima-Manager,TradeRequestAdapter,
pcgen-svn,TodoFacadeImpl,
spring-migration-analyzer,ApiUsageDetectingAsmVisitor,
emergency-service-drools-app,ProcedureServiceFactory,
cfeclipse,URLDecoratorImageDescriptor,
de-webapp,TemplateServiceFacade,
softwaremill-common,TransactionExceptionObserver,
biomixer,NcboJsonpRestUrlBuilderFactory,
UK-Ejemplos,ObserverBuilder,
santuario-java,SignatureElementProxy,
molgenis_apps,MeasurementDecorator,
java-patterns,RegistrationDAOFactory,
cdt,IncludeFolderDecorator,
ChenSun,CharsetMapping,
lyo.rio,ServiceProviderSingleton,
smsc-server,MessageObserver,
smsc-server,PropertiesUserManagerFactory,
jpatterns,AbstractFactoryPattern,
cxf,ConstrTypeSpecVisitor,
api,IsolatedStaticSingletonProvider,
api,Singleton,
cdt,CElementDecorator,
jabylon,BasicMementoImpl,
java-patterns,MySQLRegistrationDAOFactory,
flume_1,GzipDecorator,
cruisecontrol,XcodeBuilder,
see,LocalizedBigDecimalFactory,
jbehave-core,SpringStepsFactory,
jbehave-core,ParametrisationByDelimitedName,
jbehave-core,Stock,
jbehave-core,AnnotatedEmbedderUsingGuiceAndSteps,
biojava-legacy,URLFactory,
api,Singleton,
ChenSun,BestResponseTimeBalanceStrategy,
molgenis_apps,DataDecorator,
jbehave-core,PicoAnnotationBuilder,
ocl,QuantitystructureFactory,
ccw,ClojureBuilder,
ChenSun,CallableStatement,
cdo,IOVisitor,
teiid-designer,CoreMatcherFactory,
ChenSun,MysqlDataSource,
bio_quiz,AbstractFacade,
jpatterns,FactoryMethodPattern,
OpenSIG,ExportacaoProxy,
cdt,LocationAdapter,
openejb,SingletonCalculatorClient,
flume_1,EventSinkDecorator,
JavaDesignPatternExercises,IObserver,
playorm,NoSqlProxyImpl,
java-design-patterns,StarMemento,
HunApkNotifier,HunApkListAdapter,
lyo.rio,ServiceProviderSingleton,
AllBinary-Platform,KeySingletonFactory,
jbehave-core,FailingBeforeAfterSteps,
cdt,TextViewerDragAdapter,
refactoring_guru,GUIFactory,
ecf,Proxy,
jamendo-android,RadioDatabaseBuilder,
cxf,ConstVisitor,
intellij-community,JavaCodeStyleSettingsFacade,
robo-remote,SoloSingleton,
Dual-Battery-Widget,ChartFactory,
cdk,EventAdapter,
fafdtibb,MapperTreeBuilder,
jbehave-core,CalendarSteps,
cdo,HSQLDBAdapter,
ASEME,StatechartFactory,
cdo,EresourceItemProviderAdapterFactory,
pizzaapp,ConfigurationSingleton,
jamendo-android,ArtistBuilder,
flume_1,BatchingDecorator,
flume_1,ReorderDecorator,
jbehave-core,FilePrintStreamFactory,
prevayler,Memento,
jbehave-core,User,
pellet,DefaultRuleAtomVisitor,
wayback,MementoReplayRendererDecorator,
java-game-server,TCPPipelineFactory,
hbase,ThriftServerMetricsSourceFactory,
Alice,ElementPrototype,
Get-Another-Label,DatumDecorator,
cxf,ChainInitiationObserver,
AllBinary-Platform,ProcessPaintableSingletonFactory,
magic-config,DecoratorFactoryImpl,
pcgen-svn,ListFacade,
basiclti-portlet,AbstractAdapter,
cdk,RendererAdapter,
Emma,IClassDefVisitor,
milton,SpringResourceFactoryFactory,
platform,Axis2ConfigurationContextObserverImpl,
cdk,TemplateVisitor,
harmony-classlib,BeanContextProxy,
pcgen-svn,TermEvaluatorBuilder,
udig-platform,UdigMemento,
cayenne,DefaultWidgetFactory,
cdk,AttributeAdapter,
frostwire-desktop,ProxyBlock,
jbehave-core,AbstractStepsFactory,
ccw,ClojureLineBreakpointAdapter,
java-design-patterns,SoldierVisitor,
pellet,ATermVisitor,
platform,CSGAgentObserver,
cdo,DNDDropAdapter,
AllBinary-Platform,StoreAdminUserEmailEventHandlerSingletons,
jbehave-core,FailureCorrelationStories,
sample-projects,Visitor,
stratosphere,ExecutionObserver,
ocl,CompleteOCLCSTFactory,
Catroid,PrototypeBrickAdapter,
petals-studio,Filetransfer2xFactoryImpl,
ChenSun,JDBC4MysqlPooledConnection,
platform,TaskAxis2ConfigurationContextObserver,
zk,UiFactory,
jbehave-core,WeldStepsFactory,
jbehave-core,PendingSteps,
liferay-portal,LayoutPrototypePermission,
rt.equinox.p2,Memento,
pcgen-svn,ListFacades,
Generic-Graph-View,GraphViewMappingFactoryImpl,
MPS,MappingsMemento,
zk,AbstractUiFactory,
cruisecontrol,LogFileSetupDecorator,
flume_1,ExceptionTwiddleDecorator,
orion.server,ResourceShapeFactory,
